"slug","status","canonical_slug","jurisdictions","summaryLength","wordCount","failures","robots","sitemapIncluded","indexabilityStatus","indexabilityLabel","indexabilityDetails","primaryBlockReasons","dataSource"
"court-hearing-prepare-possession-england","review","","england","72","1019","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"possession-order-what-happens-next","review","","england","75","1019","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"warrant-of-possession-bailiffs-eviction","review","","england","70","1018","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"can-i-evict-without-court-england","review","","england","70","1020","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-21-and-deposit-protection-rules","review","","england","80","1017","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-21-gas-safety-epc-how-to-fix","review","","england","70","1021","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-8-grounds-nuisance-anti-social","review","","england","68","1019","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"notice-seeking-possession-vs-eviction","review","","england","57","1020","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"accelerated-possession-costs-fees","review","","england","67","1017","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-21-reissue-after-expiry","review","","england","63","1019","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"rent-arrears-letter-before-action-england","review","","england","78","1002","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"calculate-rent-arrears-and-interest","review","","england","76","1001","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"repayment-plan-template-landlord-tenant","review","","england","75","1002","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"when-to-issue-money-claim-online-rent","review","","england","58","1004","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"mcol-process-for-rent-arrears-england","review","","england","68","1002","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"small-claims-for-rent-arrears-evidence","review","","england","68","1005","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"money-claim-after-tenant-moves-out","review","","england","62","1003","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"guarantor-liability-for-rent-arrears","review","","england","79","1000","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"claim-rent-arrears-from-deposit","review","","england","60","1001","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"rent-arrears-and-section-8-grounds","review","","england","68","1001","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"ast-vs-periodic-tenancy-england","review","","uk-wide","68","1002","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"renewing-fixed-term-tenancy-england","review","","uk-wide","69","1003","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"wales-occupation-contract-vs-tenancy","review","","uk-wide","62","1003","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"scotland-prt-vs-short-assured","review","","uk-wide","73","1005","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"joint-tenancy-ending-one-tenant-leaves","review","","uk-wide","67","1002","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"adding-tenant-to-existing-agreement","review","","uk-wide","66","1001","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"rent-increase-clause-best-practice-uk","review","","uk-wide","73","1002","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"tenancy-agreement-checklist-uk-landlord","review","","uk-wide","76","1001","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-173-notice-wales-when-to-use","review","","wales","59","975","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"wales-occupation-contract-notice-periods","review","","wales","70","973","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"wales-retaliatory-eviction-protection","review","","wales","69","973","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"wales-occupation-contract-written-statement","review","","wales","71","975","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-173-validity-checklist-wales","review","","wales","67","974","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"wales-possession-court-process-section-173","review","","wales","70","974","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"notice-to-leave-scotland-grounds","review","","scotland","54","979","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"scotland-prt-notice-periods-2025","review","","scotland","62","974","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"scotland-eviction-court-process-tribunal","review","","scotland","65","976","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"scotland-rent-arrears-prt-steps","review","","scotland","46","977","status: Question status is 'review', must be 'approved' for indexing | summary: Summary is missing or too short (minimum 50 characters)","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"scotland-serving-notice-to-leave","review","","scotland","56","977","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"scotland-tenant-abandonment-prt","review","","scotland","59","979","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
