route_pattern,page_type,primary_intent,primary_cta_target,jurisdiction_scope,indexable,in_sitemap,promise
/eviction-notice-uk,guide,informational,n/a,UK-wide,no,yes,
/eviction-pack-england,guide,informational,n/a,England,no,yes,
/eviction-process-england,guide,informational,n/a,England,no,yes,
/eviction-process-scotland,guide,informational,n/a,Scotland,no,yes,
/eviction-process-wales,guide,informational,n/a,Wales,no,yes,
/fixed-term-periodic-occupation-contract-wales,marketing,informational,n/a,Wales,no,yes,
/fixed-term-periodic-tenancy-england,guide,informational,n/a,England,no,yes,
/fixed-term-tenancy-agreement-northern-ireland,guide,informational,n/a,Northern Ireland,no,yes,
/fixed-term-tenancy-agreement-template,guide,informational,n/a,England/Wales?,no,yes,
/form-3-section-8,guide,informational,n/a,England/Wales?,no,yes,
/form-6a-section-21,guide,informational,n/a,England/Wales?,no,yes,
/help,marketing,informational,n/a,England/Wales?,no,yes,
/how-to-evict-tenant,guide,informational,n/a,England/Wales?,no,yes,
/how-to-rent-guide,guide,informational,n/a,England/Wales?,no,yes,
/how-to-sue-tenant-for-unpaid-rent,guide,informational,n/a,England/Wales?,no,yes,
/joint-occupation-contract-wales,marketing,informational,n/a,Wales,no,yes,
/joint-prt-tenancy-agreement-scotland,guide,informational,n/a,Scotland,no,yes,
/joint-tenancy-agreement-england,guide,informational,n/a,England,no,yes,
/joint-tenancy-agreement-northern-ireland,guide,informational,n/a,Northern Ireland,no,yes,
/joint-tenancy-agreement-template,guide,informational,n/a,England/Wales?,no,yes,
/lodger-agreement-template,guide,informational,n/a,England/Wales?,no,yes,
/mcol-money-claim-online,guide,informational,n/a,England/Wales?,no,yes,
/money-claim,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-abandoned-goods,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-appliance-damage,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-bathroom-damage,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-carpet-damage,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-ccj-enforcement,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-cleaning-costs,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-council-tax,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-deposit-shortfall,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-early-termination,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-former-tenant,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-garden-damage,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-guarantor,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-letter-before-action,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-n1-claim-form,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-online-mcol,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-pap-financial-statement,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-property-damage,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-rent-arrears,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-schedule-of-debt,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-small-claims-landlord,guide,mixed,n/a,UK-wide,no,yes,
/money-claim-tenant-defends,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-unpaid-bills,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-unpaid-rent,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-unpaid-utilities,guide,mixed,n/a,England/Wales?,no,yes,
/money-claim-wall-damage,guide,mixed,n/a,England/Wales?,no,yes,
/n5b-form-guide,guide,informational,n/a,England/Wales?,no,yes,
/ni-private-tenancy-agreement,guide,informational,n/a,Northern Ireland,no,yes,
/ni-tenancy-agreement-template-free,guide,informational,n/a,Northern Ireland,no,yes,
/no-fault-eviction,guide,informational,n/a,England/Wales?,no,yes,
/northern-ireland-tenancy-agreement-template,guide,informational,n/a,Northern Ireland,no,yes,
/notice-to-quit-northern-ireland-guide,guide,informational,n/a,Northern Ireland,no,yes,
/occupation-contract-template-wales,guide,informational,n/a,Wales,no,yes,
/periodic-tenancy-agreement,guide,informational,n/a,England/Wales?,no,yes,
/possession-claim-guide,guide,informational,n/a,England/Wales?,no,yes,
/pre-action-protocol-debt,guide,informational,n/a,England/Wales?,no,yes,
/premium-tenancy-agreement,guide,informational,n/a,England/Wales?,no,yes,
/pricing,marketing,transactional,n/a,England/Wales?,no,yes,
/privacy,marketing,informational,n/a,England/Wales?,no,yes,
/private-residential-tenancy-agreement-scotland,guide,informational,n/a,Scotland,no,yes,
/private-residential-tenancy-agreement-template,guide,informational,n/a,England/Wales?,no,yes,
/products/ast,product,transactional,n/a,England/Wales?,no,yes,
/products/complete-pack,product,transactional,n/a,England/Wales?,no,yes,
/products/money-claim,product,transactional,n/a,England/Wales?,no,yes,
/products/money-claim-pack,product,transactional,n/a,England/Wales?,no,yes,
/products/notice-only,product,transactional,n/a,England/Wales?,no,yes,
/prt-template-scotland,guide,informational,n/a,Scotland,no,yes,
/prt-tenancy-agreement-template-scotland,guide,informational,n/a,Scotland,no,yes,
/refunds,marketing,informational,n/a,England/Wales?,unknown,no,
/renew-tenancy-agreement-england,guide,informational,n/a,England,no,yes,
/rent-arrears-letter-template,guide,informational,n/a,England/Wales?,no,yes,
/renting-homes-wales-written-statement,guide,informational,n/a,Wales,no,yes,
/rolling-tenancy-agreement,guide,informational,n/a,England/Wales?,no,yes,
/scotland-eviction-notices,guide,informational,n/a,Scotland,no,yes,
/scotland-notice-to-leave-template,guide,informational,n/a,Scotland,no,yes,
/scotland-prt-model-agreement-guide,guide,informational,n/a,Scotland,no,yes,
/scottish-tenancy-agreement-template,guide,informational,n/a,Scotland,no,yes,
/section-21-ban,guide,informational,n/a,England/Wales?,no,yes,
/section-21-expired-what-next,guide,informational,n/a,England/Wales?,no,yes,
/section-21-notice-template,guide,informational,n/a,England/Wales?,no,yes,
/section-8-notice-template,guide,informational,n/a,England/Wales?,no,yes,
/section-8-rent-arrears-eviction,guide,informational,n/a,England/Wales?,no,yes,
/section-8-vs-section-21,guide,informational,n/a,England/Wales?,no,yes,
/standard-occupation-contract-wales,marketing,informational,n/a,Wales,no,yes,
/success/[product]/[caseId],marketing,informational,n/a,England/Wales?,unknown,no,
/tenancy-agreement,guide,informational,n/a,England/Wales?,no,yes,
/tenancy-agreement-northern-ireland,guide,informational,n/a,Northern Ireland,no,yes,
/tenancy-agreement-template,guide,informational,n/a,England/Wales?,no,yes,
/tenancy-agreement-template-free,guide,informational,n/a,England/Wales?,no,yes,
/tenancy-agreement-template-northern-ireland,guide,informational,n/a,Northern Ireland,no,yes,
/tenancy-agreements/england,guide,informational,n/a,England,no,yes,
/tenancy-agreements/england-wales,guide,informational,n/a,Wales,unknown,no,
/tenancy-agreements/northern-ireland,guide,informational,n/a,Northern Ireland,no,yes,
/tenancy-agreements/scotland,guide,informational,n/a,Scotland,no,yes,
/tenancy-agreements/wales,guide,informational,n/a,Wales,no,yes,
/tenant-damaging-property,marketing,informational,n/a,England/Wales?,no,yes,
/tenant-not-paying-rent,guide,informational,n/a,England/Wales?,no,yes,
/tenant-wont-leave,marketing,informational,n/a,England/Wales?,no,yes,
/terms,marketing,informational,n/a,England/Wales?,no,yes,
/tools,marketing,informational,n/a,England/Wales?,no,yes,
/tools/free-rent-demand-letter,tool,mixed,n/a,England/Wales?,no,yes,
/tools/free-section-21-notice-generator,tool,mixed,n/a,England/Wales?,no,yes,
/tools/free-section-8-notice-generator,tool,mixed,n/a,England/Wales?,no,yes,
/tools/hmo-license-checker,tool,mixed,n/a,England/Wales?,no,yes,
/tools/rent-arrears-calculator,tool,mixed,n/a,England/Wales?,no,yes,
/tools/validators,tool,mixed,n/a,England/Wales?,no,yes,
/tools/validators/section-21,tool,mixed,n/a,England/Wales?,no,yes,
/tools/validators/section-8,tool,mixed,n/a,England/Wales?,no,yes,
/update-occupation-contract-wales,marketing,informational,n/a,Wales,no,yes,
/update-prt-tenancy-agreement-scotland,guide,informational,n/a,Scotland,no,yes,
/update-tenancy-agreement-northern-ireland,guide,informational,n/a,Northern Ireland,no,yes,
/wales-eviction-notice-template,guide,informational,n/a,Wales,no,yes,
/wales-eviction-notices,guide,informational,n/a,Wales,no,yes,
/wales-tenancy-agreement-template,guide,informational,n/a,Wales,no,yes,
/warrant-of-possession,marketing,informational,n/a,England/Wales?,no,yes,
/wizard,marketing,transactional,n/a,England/Wales?,no,no,
/wizard/flow,marketing,transactional,n/a,England/Wales?,unknown,no,
/wizard/preview/[caseId],marketing,transactional,n/a,England/Wales?,unknown,no,
/wizard/review,marketing,transactional,n/a,England/Wales?,unknown,no,
